Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000510100199,COMMERCIAL,PRIVATE,HOTEL PREMALIYA,51,NEHRU STREET,1000511600081
1000510100499,COMMERCIAL,PRIVATE,ANI ARCADE MANSION,51,GANDHIPURAM 7TH STREET,1000511600080
1000510100204,COMMERCIAL,PRIVATE,ZIMSON & COMPANY,51,PONNAY STREET,1000511600079
1000510100077,COMMERCIAL,PRIVATE,KURUNJI LODGE,51,LAJAPATHI RAI STREET,1000511600078
1000510101525,COMMERCIAL,PRIVATE,TANISHQ,51,PONNAY STREET,1000511600077
1000510100771,COMMERCIAL,PRIVATE,JOSCO JEWELLERS,51,PONNAY STREET,1000511600076
1000510100517,COMMERCIAL,PRIVATE,MANGALA INTERNATIONAL LODGE,51,NEHRU STREET,1000511600075
1000510100793,INDUSTRIAL,PRIVATE,VIVEKS INDUSTRIES,51,VIVEKANANDA ROAD,1000511600074
1000510100914,COMMERCIAL,PRIVATE,JAYSREE CAR SERVICE,51,VIVEKANANDA ROAD,1000511600073
1000510100794,COMMERCIAL,PRIVATE,JAYSREE CAR SERVICE,51,VIVEKANANDA ROAD,1000511600072
1000510100599,COMMERCIAL,PRIVATE,PUSHPAM LODGE,51,LAJAPATHI RAI STREET,1000511600071
1000510101229,COMMERCIAL,PRIVATE,SRI KANIMANI LODGE,51,DR RAJENDRAPRASAD ROAD,1000511600070
1000510100667,COMMERCIAL,PRIVATE,KR LODGE RANGA,51,SN DAS LAYOUT 4,1000511600069
